submission_date,state,tot_cases,new_case,tot_death,new_death
2021-02-10,OH,928631,3281.0,11856,63.0
2021-02-10,SD,109580,175.0,1815,6.0
2021-02-10,AR,309940,1092.0,5174,26.0
2021-02-10,CO,407961,751.0,5770,24.0
2021-02-10,NM,178790,510.0,3461,31.0
2021-02-10,ID,166553,458.0,1791,11.0
2021-02-09,GU,7673,0.0,130,0.0
2021-02-09,VI,2485,12.0,24,0.0
2021-02-09,UT,356040,918.0,1748,10.0
2021-02-09,WI,602256,865.0,6663,49.0
2021-02-09,IN,641874,1130.0,11942,67.0
2021-02-09,SD,109405,122.0,1809,0.0
2021-02-09,LA,414354,1365.0,9162,20.0
2021-02-09,PR,96494,92.0,1897,4.0
2021-02-09,MN,469254,572.0,6376,6.0
2021-02-09,TX,2504556,13329.0,39001,301.0
2021-02-09,AR,308848,1475.0,5148,42.0
2021-02-09,DE,81210,279.0,1221,13.0
2021-02-09,AK,53809,115.0,278,1.0
2021-02-09,CO,407210,934.0,5746,13.0
2021-02-09,RMI,4,0.0,0,0.0
2021-02-09,MO,468189,876.0,7161,12.0
2021-02-09,KS,282960,0.0,4197,0.0
2021-02-09,IL,1150170,2082.0,21802,23.0
2021-02-09,VA,537319,3203.0,6932,34.0
2021-02-09,FSM,1,0.0,0,0.0
2021-02-09,MA,529021,1319.0,15029,68.0
2021-02-09,ND,98214,39.0,1429,2.0
2021-02-09,CA,3354591,8251.0,44477,327.0
2021-02-09,MS,283753,784.0,6367,25.0
2021-02-09,HI,25770,28.0,415,0.0
2021-02-09,PA,876913,4088.0,22620,149.0
2021-02-09,NE,194630,462.0,1986,8.0
2021-02-09,KY,381121,2328.0,4126,35.0
2021-02-09,NV,285136,546.0,4559,37.0
2021-02-09,NJ,728304,3576.0,22103,92.0
2021-02-09,AL,474666,1318.0,8579,56.0
2021-02-09,VT,13105,59.0,186,3.0
2021-02-09,AS,3,0.0,0,0.0
2021-02-09,TN,747462,1636.0,10631,65.0
2021-02-09,OK,410733,1595.0,3910,31.0
2021-02-09,CT,264608,869.0,7298,16.0
2021-02-09,ID,166095,437.0,1780,4.0
2021-02-09,OH,925350,3207.0,11793,98.0
2021-02-09,SC,470311,1908.0,7693,3.0
2021-02-09,FL,1758254,6911.0,28048,232.0
2021-02-09,NYC,651756,3451.0,27949,92.0
2021-02-09,OR,147932,513.0,2031,7.0
2021-02-09,MP,133,0.0,2,0.0
2021-02-09,RI,119434,330.0,2248,12.0
2021-02-09,WY,52830,46.0,647,23.0
2021-02-09,WV,125522,416.0,2150,19.0
2021-02-09,WA,324025,811.0,4558,107.0
2021-02-09,AZ,787268,4381.0,14286,231.0
2021-02-09,GA,947416,3721.0,15301,171.0
2021-02-09,PW,0,0.0,0,0.0
2021-02-09,NC,802065,2786.0,10046,55.0
2021-02-09,NY,850387,3514.0,17009,84.0
2021-02-09,ME,41883,254.0,641,2.0
2021-02-09,DC,38281,145.0,961,5.0
2021-02-09,NM,178280,413.0,3430,18.0
2021-02-09,NH,68918,419.0,1109,3.0
2021-02-09,MD,366666,1137.0,7446,33.0
2021-02-09,MI,623731,918.0,15925,62.0
2021-02-09,MT,96288,374.0,1315,1.0
2021-02-09,IA,325583,675.0,5145,35.0
2021-02-08,OR,147419,297.0,2024,1.0
2021-02-08,NYC,648305,4415.0,27857,88.0
2021-02-08,MA,527702,1276.0,14961,55.0
2021-02-08,AK,53694,415.0,277,0.0
2021-02-08,KS,282960,1398.0,4197,96.0
2021-02-08,VT,13046,146.0,183,0.0
2021-02-08,VI,2473,7.0,24,0.0
2021-02-08,OH,922143,1926.0,11695,36.0
2021-02-08,PA,872825,2504.0,22471,4.0
2021-02-08,LA,412989,1177.0,9142,23.0
2021-02-08,MP,133,0.0,2,0.0
2021-02-08,CO,406276,987.0,5733,2.0
2021-02-08,ME,41629,211.0,639,3.0
2021-02-08,GU,7673,9.0,130,0.0
2021-02-08,AL,473348,925.0,8523,8.0
2021-02-08,RMI,4,0.0,0,0.0
2021-02-08,WV,125106,398.0,2131,2.0
2021-02-08,NC,799279,3084.0,9991,8.0
2021-02-08,AS,3,0.0,0,0.0
2021-02-08,TN,745826,1226.0,10566,97.0
2021-02-08,FL,1751343,5688.0,27816,84.0
2021-02-08,KY,378793,1003.0,4091,40.0
2021-02-08,MN,468682,564.0,6370,3.0
2021-02-08,AR,307373,637.0,5106,30.0
2021-02-08,IA,324908,465.0,5110,2.0
2021-02-08,WY,52784,157.0,624,0.0
2021-02-08,NM,177867,311.0,3412,13.0
2021-02-08,IN,640744,1033.0,11875,58.0
2021-02-08,MT,95914,124.0,1314,0.0
2021-02-08,CA,3346340,10414.0,44150,208.0
2021-02-08,NY,846873,3901.0,16925,62.0
2021-02-08,MD,365529,976.0,7413,41.0
2021-02-08,VA,534116,3291.0,6898,78.0
2021-02-08,NV,284590,548.0,4522,2.0
2021-02-08,DC,38136,101.0,956,4.0
2021-02-08,PW,0,0.0,0,0.0
2021-02-08,NJ,724728,2561.0,22011,22.0
2021-02-08,PR,96402,241.0,1893,5.0
2021-02-08,NE,194168,446.0,1978,10.0
2021-02-08,MS,282969,656.0,6342,72.0
2021-02-08,RI,119104,1213.0,2236,24.0
2021-02-08,MO,467313,649.0,7149,6.0
2021-02-08,ND,98175,-9.0,1427,-1.0
2021-02-08,WI,601391,609.0,6614,1.0
2021-02-08,WA,323214,558.0,4451,2.0
2021-02-08,IL,1148088,1747.0,21779,41.0
2021-02-08,FSM,1,0.0,0,0.0
2021-02-08,MI,622813,2128.0,15863,9.0
2021-02-08,ID,165658,449.0,1776,9.0
2021-02-08,HI,25742,30.0,415,0.0
2021-02-08,SC,468403,2030.0,7690,39.0
2021-02-08,TX,2491227,7485.0,38700,57.0
2021-02-08,CT,263739,4367.0,7282,68.0
2021-02-08,DE,80931,337.0,1208,0.0
2021-02-08,OK,409138,5953.0,3879,161.0
2021-02-08,AZ,782887,2250.0,14055,7.0
2021-02-08,GA,943695,2704.0,15130,38.0
2021-02-08,UT,355122,514.0,1738,2.0
2021-02-08,NH,68499,120.0,1106,2.0
2021-02-08,SD,109283,54.0,1809,0.0
2021-02-07,MP,133,0.0,2,0.0
2021-02-07,OK,403185,0.0,3718,0.0
2021-02-07,FL,1745655,6379.0,27732,133.0
2021-02-07,MN,468118,901.0,6367,10.0
2021-02-07,ND,98184,29.0,1428,0.0
2021-02-07,TX,2483742,6959.0,38643,167.0
2021-02-07,GA,940991,3589.0,15092,2.0
2021-02-07,GU,7664,28.0,130,1.0
2021-02-07,OH,920217,2138.0,11659,7.0
2021-02-07,NJ,722167,4332.0,21989,25.0
2021-02-07,NYC,643890,5086.0,27769,63.0
2021-02-07,CT,259372,0.0,7214,0.0
2021-02-07,DC,38035,158.0,952,5.0
2021-02-07,SD,109229,97.0,1809,5.0
2021-02-07,IL,1146341,2060.0,21738,62.0
2021-02-07,AR,306736,672.0,5076,15.0
2021-02-07,WI,600782,766.0,6613,2.0
2021-02-07,AK,53279,0.0,277,0.0
2021-02-07,CA,3335926,15064.0,43942,295.0
2021-02-07,IN,639711,1724.0,11817,65.0
2021-02-07,SC,466373,3392.0,7651,40.0
2021-02-07,LA,411812,1951.0,9119,43.0
2021-02-07,MS,282313,635.0,6270,1.0
2021-02-07,MA,526426,3004.0,14906,76.0
2021-02-07,VA,530825,1700.0,6820,42.0
2021-02-07,KY,377790,1528.0,4051,31.0
2021-02-07,IA,324443,506.0,5108,0.0
2021-02-07,NY,842972,4743.0,16863,82.0
2021-02-07,HI,25712,73.0,415,2.0
2021-02-07,CO,405289,1034.0,5731,10.0
2021-02-07,TN,744600,2387.0,10469,6.0
2021-02-07,AZ,780637,1544.0,14048,37.0
2021-02-07,AS,3,0.0,0,0.0
2021-02-07,ME,41418,201.0,636,1.0
2021-02-07,NV,284042,651.0,4520,24.0
2021-02-07,RI,117891,0.0,2212,0.0
2021-02-07,UT,354608,908.0,1736,3.0
2021-02-07,PA,870321,4717.0,22467,71.0
2021-02-07,NC,796195,4674.0,9983,57.0
2021-02-07,WV,124708,518.0,2129,10.0
2021-02-07,MI,620685,0.0,15854,0.0
2021-02-07,NH,68379,318.0,1104,6.0
2021-02-07,NM,177556,342.0,3399,13.0
2021-02-07,ID,165209,0.0,1767,0.0
2021-02-07,VI,2466,0.0,24,0.0
2021-02-07,WY,52627,9.0,624,0.0
2021-02-07,DE,80594,762.0,1208,6.0
2021-02-07,PW,0,0.0,0,0.0
2021-02-07,MD,364553,903.0,7372,23.0
2021-02-07,RMI,4,0.0,0,0.0
2021-02-07,MT,95790,73.0,1314,2.0
2021-02-07,KS,281562,0.0,4101,0.0
2021-02-07,NE,193722,301.0,1968,0.0
2021-02-07,MO,466664,447.0,7143,0.0
2021-02-07,VT,12900,134.0,183,1.0
2021-02-07,OR,147122,381.0,2023,4.0
2021-02-07,WA,322656,2510.0,4449,0.0
2021-02-07,FSM,1,0.0,0,0.0
2021-02-07,AL,472423,1112.0,8515,2.0
2021-02-07,PR,96161,322.0,1888,5.0
2021-02-06,RI,117891,0.0,2212,0.0
2021-02-06,ME,41217,154.0,635,1.0
2021-02-06,MA,523422,3378.0,14830,59.0
2021-02-06,MI,620685,1186.0,15854,104.0
2021-02-06,MD,363650,1566.0,7349,20.0
2021-02-06,TX,2476783,13897.0,38476,348.0
2021-02-06,VT,12766,154.0,182,1.0
2021-02-06,VA,529125,2948.0,6778,4.0
2021-02-06,OH,918079,3549.0,11652,81.0
2021-02-06,AS,3,0.0,0,0.0
2021-02-06,KS,281562,0.0,4101,0.0
2021-02-06,DC,37877,243.0,947,7.0
2021-02-06,PA,865604,3930.0,22396,157.0
2021-02-06,AR,306064,1341.0,5061,11.0
2021-02-06,CT,259372,0.0,7214,0.0
